Entity,Code,Year,SocialExpenditureGDP(%)
Australia,AUS,1880,0
Australia,AUS,1890,0
Australia,AUS,1900,0
Australia,AUS,1910,1.12
Australia,AUS,1920,1.66
Australia,AUS,1930,2.11
Australia,AUS,1960,5.93012553
Australia,AUS,1961,6.333481916
Australia,AUS,1962,6.285261018
Australia,AUS,1963,6.199258799
Australia,AUS,1964,5.976754619
Australia,AUS,1965,6.059972782
Australia,AUS,1966,5.921643458
Australia,AUS,1967,5.652750976
Australia,AUS,1968,5.676263156
Australia,AUS,1969,5.849024071
Australia,AUS,1970,5.914159614
Australia,AUS,1971,6.211192705
Australia,AUS,1972,6.638595805
Australia,AUS,1973,7.012542058
Australia,AUS,1974,8.39848658
Australia,AUS,1975,10.15894538
Australia,AUS,1976,10.59740856
Australia,AUS,1977,10.9222346
Australia,AUS,1978,10.6378896
Australia,AUS,1979,10.29641421
Australia,AUS,1980,10.268
Australia,AUS,1985,12.088
Australia,AUS,1990,13.131
Australia,AUS,1995,16.871
Australia,AUS,2000,18.242
Australia,AUS,2005,16.681
Australia,AUS,2010,16.706
Australia,AUS,2013,18.109
Australia,AUS,2014,18.697
Australia,AUS,2015,18.794
Australia,AUS,2016,19.146
Canada,CAN,1880,0
Canada,CAN,1890,0
Canada,CAN,1900,0
Canada,CAN,1910,0
Canada,CAN,1920,0.06
Canada,CAN,1930,0.31
Canada,CAN,1960,8.117736532
Canada,CAN,1961,8.396542221
Canada,CAN,1962,8.357319358
Canada,CAN,1963,8.290315209
Canada,CAN,1964,8.196586418
Canada,CAN,1965,7.937770546
Canada,CAN,1966,8.075592063
Canada,CAN,1967,8.829456762
Canada,CAN,1968,9.369240535
Canada,CAN,1969,9.720853383
Canada,CAN,1970,10.48436839
Canada,CAN,1971,11.36838633
Canada,CAN,1972,12.12909131
Canada,CAN,1973,12.14316779
Canada,CAN,1974,12.53374604
Canada,CAN,1975,13.67648823
Canada,CAN,1976,13.37451818
Canada,CAN,1977,13.595433
Canada,CAN,1978,13.39408899
Canada,CAN,1979,12.90118654
Canada,CAN,1980,13.306
Canada,CAN,1985,16.418
Canada,CAN,1990,17.546
Canada,CAN,1995,18.354
Canada,CAN,2000,15.763
Canada,CAN,2005,16.138
Canada,CAN,2010,17.547
Canada,CAN,2013,16.878
Canada,CAN,2014,16.818
Canada,CAN,2015,17.213
Denmark,DNK,1880,0.96
Denmark,DNK,1890,1.11
Denmark,DNK,1900,1.41
Denmark,DNK,1910,1.75
Denmark,DNK,1920,2.71
Denmark,DNK,1930,3.11
Denmark,DNK,1960,9.46270583
Denmark,DNK,1970,14.76521717
Denmark,DNK,1971,15.53662405
Denmark,DNK,1972,15.66169698
Denmark,DNK,1973,15.56647099
Denmark,DNK,1974,17.52376389
Denmark,DNK,1975,18.72106353
Denmark,DNK,1976,18.01916598
Denmark,DNK,1977,18.35230368
Denmark,DNK,1978,19.23045696
Denmark,DNK,1979,19.7745319
Denmark,DNK,1980,20.334
Denmark,DNK,1985,19.294
Denmark,DNK,1990,21.973
Denmark,DNK,1995,25.513
Denmark,DNK,2000,23.765
Denmark,DNK,2005,25.186
Denmark,DNK,2010,28.941
Denmark,DNK,2013,29.017
Denmark,DNK,2014,29.001
Denmark,DNK,2015,28.814
Denmark,DNK,2016,28.677
France,FRA,1880,0.46
France,FRA,1890,0.54
France,FRA,1900,0.57
France,FRA,1910,0.81
France,FRA,1920,0.64
France,FRA,1930,1.05
France,FRA,1960,12.03809709
France,FRA,1970,14.96240384
France,FRA,1975,16.46679708
France,FRA,1976,18.09021481
France,FRA,1977,18.59166897
France,FRA,1978,19.45212529
France,FRA,1979,19.72334639
France,FRA,1980,20.232
France,FRA,1985,25.245
France,FRA,1990,24.28
France,FRA,1995,28.332
France,FRA,2000,27.495
France,FRA,2005,28.694
France,FRA,2010,30.664
France,FRA,2013,31.493
France,FRA,2014,31.938
France,FRA,2015,31.685
France,FRA,2016,31.548
Germany,DEU,1880,0.5
Germany,DEU,1890,0.53
Germany,DEU,1900,0.59
Germany,DEU,1930,4.82
Germany,DEU,1960,15.36900429
Germany,DEU,1961,15.30499905
Germany,DEU,1962,15.38823514
Germany,DEU,1963,15.82884552
Germany,DEU,1964,15.3544809
Germany,DEU,1965,16.08403345
Germany,DEU,1966,16.29368853
Germany,DEU,1967,17.68985237
Germany,DEU,1968,17.47866871
Germany,DEU,1969,16.95038312
Germany,DEU,1970,16.56899836
Germany,DEU,1971,17.31586635
Germany,DEU,1972,17.96411868
Germany,DEU,1973,18.29670434
Germany,DEU,1974,19.96037785
Germany,DEU,1975,23.05745714
Germany,DEU,1976,22.73042441
Germany,DEU,1977,22.57739198
Germany,DEU,1978,22.02451057
Germany,DEU,1979,21.58779659
Germany,DEU,1980,21.788
Germany,DEU,1985,22.228
Germany,DEU,1990,21.354
Germany,DEU,1995,25.225
Germany,DEU,2000,25.405
Germany,DEU,2005,26.279
Germany,DEU,2010,25.922
Germany,DEU,2013,24.758
Germany,DEU,2014,24.851
Germany,DEU,2015,24.964
Germany,DEU,2016,25.289
Italy,ITA,1880,0
Italy,ITA,1890,0
Italy,ITA,1900,0
Italy,ITA,1910,0
Italy,ITA,1920,0
Italy,ITA,1930,0.08
Italy,ITA,1960,10.71713342
Italy,ITA,1961,10.49876261
Italy,ITA,1962,11.32295597
Italy,ITA,1963,11.66436058
Italy,ITA,1964,11.73358679
Italy,ITA,1965,13.22655893
Italy,ITA,1966,13.35978202
Italy,ITA,1967,13.25533354
Italy,ITA,1968,13.55326517
Italy,ITA,1969,13.91295942
Italy,ITA,1970,13.87869274
Italy,ITA,1971,14.84257901
Italy,ITA,1972,15.89002003
Italy,ITA,1973,15.64472293
Italy,ITA,1974,15.81899366
Italy,ITA,1975,17.21296682
Italy,ITA,1976,17.25647171
Italy,ITA,1977,16.63989902
Italy,ITA,1978,18.00924475
Italy,ITA,1979,17.3667989
Italy,ITA,1980,17.379
Italy,ITA,1985,20.113
Italy,ITA,1990,20.652
Italy,ITA,1995,20.957
Italy,ITA,2000,22.637
Italy,ITA,2005,24.095
Italy,ITA,2010,27.629
Italy,ITA,2013,28.619
Italy,ITA,2014,28.972
Italy,ITA,2015,28.917
Italy,ITA,2016,28.871
Japan,JPN,1880,0.05
Japan,JPN,1890,0.11
Japan,JPN,1900,0.17
Japan,JPN,1910,0.18
Japan,JPN,1920,0.18
Japan,JPN,1930,0.21
Japan,JPN,1960,3.470812182
Japan,JPN,1961,3.925302951
Japan,JPN,1962,4.19093792
Japan,JPN,1963,4.371477729
Japan,JPN,1964,4.420922763
Japan,JPN,1965,4.722153496
Japan,JPN,1966,4.777126347
Japan,JPN,1967,4.830765969
Japan,JPN,1968,4.768017334
Japan,JPN,1969,4.670731789
Japan,JPN,1970,4.90989891
Japan,JPN,1971,5.132696242
Japan,JPN,1972,5.547535334
Japan,JPN,1973,5.729202871
Japan,JPN,1974,6.936385678
Japan,JPN,1975,7.992115301
Japan,JPN,1976,8.611482114
Japan,JPN,1977,8.946610719
Japan,JPN,1978,9.623850053
Japan,JPN,1979,9.933519057
Japan,JPN,1980,10.244
Japan,JPN,1985,11.068
Japan,JPN,1990,11.107
Japan,JPN,1995,14.055
Japan,JPN,2000,16.269
Japan,JPN,2005,18.152
Japan,JPN,2010,22.074
Japan,JPN,2013,23.06
Sweden,SWE,1880,0.72
Sweden,SWE,1890,0.85
Sweden,SWE,1900,0.85
Sweden,SWE,1910,1.03
Sweden,SWE,1920,1.14
Sweden,SWE,1930,2.59
Sweden,SWE,1960,10.371663
Sweden,SWE,1961,10.31828846
Sweden,SWE,1962,10.64236657
Sweden,SWE,1963,11.87388551
Sweden,SWE,1964,11.97488602
Sweden,SWE,1965,12.62406682
Sweden,SWE,1966,13.45810834
Sweden,SWE,1967,14.58088282
Sweden,SWE,1968,15.6460699
Sweden,SWE,1969,15.81166011
Sweden,SWE,1970,16.05500312
Sweden,SWE,1971,17.59211005
Sweden,SWE,1972,17.60745739
Sweden,SWE,1973,17.62963126
Sweden,SWE,1974,20.16717138
Sweden,SWE,1975,20.2679074
Sweden,SWE,1976,21.20627974
Sweden,SWE,1977,23.46314589
Sweden,SWE,1978,24.13642272
Sweden,SWE,1979,24.08259006
Sweden,SWE,1980,24.847
Sweden,SWE,1985,26.967
Sweden,SWE,1990,27.237
Sweden,SWE,1995,30.561
Sweden,SWE,2000,26.773
Sweden,SWE,2005,27.351
Sweden,SWE,2010,26.268
Sweden,SWE,2013,27.386
Sweden,SWE,2014,27.136
Sweden,SWE,2015,26.677
Sweden,SWE,2016,27.057
United Kingdom,GBR,1880,0.86
United Kingdom,GBR,1890,0.83
United Kingdom,GBR,1900,1
United Kingdom,GBR,1910,1.38
United Kingdom,GBR,1920,1.39
United Kingdom,GBR,1930,2.24
United Kingdom,GBR,1960,9.695266922
United Kingdom,GBR,1961,9.937712696
United Kingdom,GBR,1962,10.12661549
United Kingdom,GBR,1963,10.61938825
United Kingdom,GBR,1964,10.44189031
United Kingdom,GBR,1965,11.0674075
United Kingdom,GBR,1966,11.28180096
United Kingdom,GBR,1967,11.91708486
United Kingdom,GBR,1968,12.38000025
United Kingdom,GBR,1969,12.37416384
United Kingdom,GBR,1970,12.529809
United Kingdom,GBR,1971,12.4057028
United Kingdom,GBR,1972,13.17844005
United Kingdom,GBR,1973,12.79034068
United Kingdom,GBR,1974,14.16077486
United Kingdom,GBR,1975,14.83580065
United Kingdom,GBR,1976,15.37234632
United Kingdom,GBR,1977,15.31771467
United Kingdom,GBR,1978,15.62650275
United Kingdom,GBR,1979,15.5457689
United Kingdom,GBR,1980,15.587
United Kingdom,GBR,1985,18.181
United Kingdom,GBR,1990,15.244
United Kingdom,GBR,1995,18.333
United Kingdom,GBR,2000,17.706
United Kingdom,GBR,2005,19.408
United Kingdom,GBR,2010,22.785
United Kingdom,GBR,2013,21.874
United Kingdom,GBR,2014,21.58
United Kingdom,GBR,2015,21.502
United Kingdom,GBR,2016,21.493
United States,USA,1880,0.29
United States,USA,1890,0.45
United States,USA,1900,0.55
United States,USA,1910,0.56
United States,USA,1920,0.7
United States,USA,1930,0.56
United States,USA,1960,6.20326758
United States,USA,1961,6.773312467
United States,USA,1962,6.820596257
United States,USA,1963,6.793083473
United States,USA,1964,6.705333856
United States,USA,1965,6.710177303
United States,USA,1966,6.822748309
United States,USA,1967,7.499537809
United States,USA,1968,7.870623424
United States,USA,1969,7.964243733
United States,USA,1970,8.863118903
United States,USA,1971,9.581854501
United States,USA,1972,9.727942847
United States,USA,1973,9.922069919
United States,USA,1974,10.89176915
United States,USA,1975,12.3828651
United States,USA,1976,12.23132896
United States,USA,1977,12.00061609
United States,USA,1978,11.6358021
United States,USA,1979,11.78846715
United States,USA,1980,12.836
United States,USA,1985,12.837
United States,USA,1990,13.167
United States,USA,1995,15.057
United States,USA,2000,14.25
United States,USA,2005,15.649
United States,USA,2010,19.346
United States,USA,2013,18.816
United States,USA,2014,18.813
United States,USA,2015,18.954
United States,USA,2016,19.321